 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Alex Sutton","Lafayette","Sr.","GK","17","6"
"","Mitchell Wilson","LMU (CA)","Sr.","GK","18","6"
Reclassifying
"NR","Alvaro Rodriguez","Merrimack","So.","GK","17","6"

NCAA Men's Soccer
Division ITotal Points
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points"
"1","Duncan McGuire","Creighton","Jr.","F","24","23","4","50"
"2","Eliot Goldthorp","Hofstra","So.","M","21","17","6","40"
"3","Ryan Becher","UMBC","Sr.","M","18","13","10","36"
"4","David Bercedo","Quinnipiac","Sr.","F","21","14","7","35"
"5","MD Myers","Rutgers","Sr.","F","21","13","7","33"
"6","Brandon Cambridge","Portland","So.","M","21","12","7","31"
"7","Shaun Joash","Grand Canyon","Sr.","F","16","12","6","30"
"","Nathan Opoku","Syracuse","So.","F","25","11","8","30"
"","Charlie Sharp","Western Mich.","Sr.","M","21","11","8","30"
"","Ben Stitz","Penn","Sr.","M","18","11","8","30"
"11","Knut Ahlander","SMU","Sr.","M","17","12","5","29"
"","Taylor Calheira","UMBC","Jr.","F","17","11","7","29"
"","Stas Korzeniowski","Penn","So.","F","18","11","7","29"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","10","9","29"
"","Nick Gutmann","Kentucky","Sr.","M","21","5","19","29"
"16","Levonte Johnson","Syracuse","Sr.","F","25","11","6","28"
"","Jackson Castro","Creighton","So.","M","22","10","8","28"
"","Lucas Meek","Washington","Sr.","M","20","10","8","28"
"19","Finn Ballard McBride","UC Santa Barbara","Sr.","F","20","13","1","27"
"","Casper Grening","Kentucky","So.","M","21","11","5","27"
"","Alex Nagy","Vermont","Sr.","M","17","9","9","27"
"22","Thaddaeus Dewing","Air Force","Jr.","F","17","11","4","26"
"","Ilijah Paul","Washington","So.","F","19","11","4","26"
